"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C2,C4,C5","4","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3,C6,C7,C8,C9,C10,C11,C15,C16,C17,C19,C20","12","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C13","2","15p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C14,C18,C21","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C22,C23","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"Card1","1","TF-115","","","","SDCARD:TF-SMD_TF-115",""
"D1","1","LTST-C150RKT","","","","LED_SMD:LED_1206_3216Metric","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x02_Pin (Thermocouple)","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"J4","1","Conn_01x08_Pin (TFT Connector)","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J5","1","Conn_01x02_Pin (Hot Plate Output)","","","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-GF-5.08_1x02_P5.08mm_Vertical_ThreadedFlange_MountHole","~"
"J9","1","Conn_01x02_Pin (AC Input)","","","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-GF-5.08_1x02_P5.08mm_Vertical_ThreadedFlange_MountHole","~"
"L1","1","3.3u","","","","Inductor_SMD:L_0805_2012Metric","~"
"PS1","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"Q2","1","BTA16-600B","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/bta16.pdf"
"R1,R3,R12,R13,R17,R18,R19,R20,R21","9","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","33","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5","2","RC0402FR-075K1L (5.1kΩ)","","","","0402:R0402","~"
"R6","1","RC0402FR-13220RL (220Ω)","","","","0402:R0402","~"
"R7,R8","2","27","","","","Resistor_SMD:R_0402_1005Metric","~"
"R9,R11","2","DNF","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10","1","0","","","","Resistor_SMD:R_0402_1005Metric","~"
"R14,R15","2","330Ω","","","","0402:R0402","~"
"R16","1","100Ω","","","","0402:R0402","~"
"SW1,SW2","2","SKRKAGE020","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"SW3","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~"
"U1","1","RP2350_80QFN","","","","Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias",""
"U2","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","MOC3021M","","","","Package_DIP:DIP-6_W7.62mm","https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF"
"U5","1","MAX31855EASA","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/MAX31855.pdf"
"Y1","1","ABM8-272-T3","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
